Frame,Time (s),X (m),Y (m),Z (m),RotX (deg),RotY (deg),RotZ (deg)
330,13.75,0.0,0.0,0.0,90.0,-0.0,0.0
331,13.7917,-0.00066,0.0,0.0,90.0,-0.0,0.0
332,13.8333,-0.00259,0.0,0.0,90.0,-0.0,0.0
333,13.875,-0.00569,0.0,0.0,90.0,-0.0,0.0
334,13.9167,-0.00987,0.0,0.0,90.0,-0.0,0.0
335,13.9583,-0.01505,0.0,0.0,90.0,-0.0,0.0
336,14.0,-0.02113,0.0,0.0,90.0,-0.0,0.0
337,14.0417,-0.02803,0.0,0.0,90.0,-0.0,0.0
338,14.0833,-0.03564,0.0,0.0,90.0,-0.0,0.0
339,14.125,-0.04389,0.0,0.0,90.0,-0.0,0.0
340,14.1667,-0.05268,0.0,0.0,90.0,-0.0,0.0
341,14.2083,-0.06192,0.0,0.0,90.0,-0.0,0.0
342,14.25,-0.07153,0.0,0.0,90.0,-0.0,0.0
343,14.2917,-0.0814,0.0,0.0,90.0,-0.0,0.0
344,14.3333,-0.09146,0.0,0.0,90.0,-0.0,0.0
345,14.375,-0.1016,0.0,0.0,90.0,-0.0,0.0
346,14.4167,-0.11174,0.0,0.0,90.0,-0.0,0.0
347,14.4583,-0.1218,0.0,0.0,90.0,-0.0,0.0
348,14.5,-0.13167,0.0,0.0,90.0,-0.0,0.0
349,14.5417,-0.14128,0.0,0.0,90.0,-0.0,0.0
350,14.5833,-0.15052,0.0,0.0,90.0,-0.0,0.0
351,14.625,-0.15931,0.0,0.0,90.0,-0.0,0.0
352,14.6667,-0.16756,0.0,0.0,90.0,-0.0,0.0
353,14.7083,-0.17517,0.0,0.0,90.0,-0.0,0.0
354,14.75,-0.18207,0.0,0.0,90.0,-0.0,0.0
355,14.7917,-0.18815,0.0,0.0,90.0,-0.0,0.0
356,14.8333,-0.19333,0.0,0.0,90.0,-0.0,0.0
357,14.875,-0.19751,0.0,0.0,90.0,-0.0,0.0
358,14.9167,-0.20061,0.0,0.0,90.0,-0.0,0.0
359,14.9583,-0.20254,0.0,0.0,90.0,-0.0,0.0
360,15.0,-0.2032,0.0,0.0,90.0,-0.0,0.0
361,15.0417,-0.20254,0.0,0.0,90.0,-0.0,0.0
362,15.0833,-0.20061,0.0,0.0,90.0,-0.0,0.0
363,15.125,-0.19751,0.0,0.0,90.0,-0.0,0.0
364,15.1667,-0.19333,0.0,0.0,90.0,-0.0,0.0
365,15.2083,-0.18815,0.0,0.0,90.0,-0.0,0.0
366,15.25,-0.18207,0.0,0.0,90.0,-0.0,0.0
367,15.2917,-0.17517,0.0,0.0,90.0,-0.0,0.0
368,15.3333,-0.16756,0.0,0.0,90.0,-0.0,0.0
369,15.375,-0.15931,0.0,0.0,90.0,-0.0,0.0
370,15.4167,-0.15052,0.0,0.0,90.0,-0.0,0.0
371,15.4583,-0.14128,0.0,0.0,90.0,-0.0,0.0
372,15.5,-0.13167,0.0,0.0,90.0,-0.0,0.0
373,15.5417,-0.1218,0.0,0.0,90.0,-0.0,0.0
374,15.5833,-0.11174,0.0,0.0,90.0,-0.0,0.0
375,15.625,-0.1016,0.0,0.0,90.0,-0.0,0.0
376,15.6667,-0.09146,0.0,0.0,90.0,-0.0,0.0
377,15.7083,-0.0814,0.0,0.0,90.0,-0.0,0.0
378,15.75,-0.07153,0.0,0.0,90.0,-0.0,0.0
379,15.7917,-0.06192,0.0,0.0,90.0,-0.0,0.0
380,15.8333,-0.05268,0.0,0.0,90.0,-0.0,0.0
381,15.875,-0.04389,0.0,0.0,90.0,-0.0,0.0
382,15.9167,-0.03564,0.0,0.0,90.0,-0.0,0.0
383,15.9583,-0.02803,0.0,0.0,90.0,-0.0,0.0
384,16.0,-0.02113,0.0,0.0,90.0,-0.0,0.0
385,16.0417,-0.01505,0.0,0.0,90.0,-0.0,0.0
386,16.0833,-0.00987,0.0,0.0,90.0,-0.0,0.0
387,16.125,-0.00569,0.0,0.0,90.0,-0.0,0.0
388,16.1667,-0.00259,0.0,0.0,90.0,-0.0,0.0
389,16.2083,-0.00066,0.0,0.0,90.0,-0.0,0.0
390,16.25,0.0,0.0,0.0,90.0,-0.0,0.0
