Frame,Time (s),X (m),Y (m),Z (m),RotX (deg),RotY (deg),RotZ (deg)
210,8.75,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
211,8.7917,7.35889,-6.92579,4.95831,88.85,-0.0,0.0
212,8.8333,7.35889,-6.92579,4.95831,85.63,-0.0,0.0
213,8.875,7.35889,-6.92579,4.95831,80.64,-0.0,0.0
214,8.9167,7.35889,-6.92579,4.95831,74.21,-0.0,0.0
215,8.9583,7.35889,-6.92579,4.95831,66.67,-0.0,0.0
216,9.0,7.35889,-6.92579,4.95831,58.32,-0.0,0.0
217,9.0417,7.35889,-6.92579,4.95831,49.49,-0.0,0.0
218,9.0833,7.35889,-6.92579,4.95831,40.51,-0.0,0.0
219,9.125,7.35889,-6.92579,4.95831,31.68,-0.0,0.0
220,9.1667,7.35889,-6.92579,4.95831,23.33,-0.0,0.0
221,9.2083,7.35889,-6.92579,4.95831,15.79,-0.0,0.0
222,9.25,7.35889,-6.92579,4.95831,9.36,-0.0,0.0
223,9.2917,7.35889,-6.92579,4.95831,4.37,-0.0,0.0
224,9.3333,7.35889,-6.92579,4.95831,1.15,-0.0,0.0
225,9.375,7.35889,-6.92579,4.95831,0.0,-0.0,0.0
226,9.4167,7.35889,-6.92579,4.95831,0.0,-0.0,0.0
227,9.4583,7.35889,-6.92579,4.95831,0.0,-0.0,0.0
228,9.5,7.35889,-6.92579,4.95831,0.0,-0.0,0.0
229,9.5417,7.35889,-6.92579,4.95831,0.0,-0.0,0.0
230,9.5833,7.35889,-6.92579,4.95831,0.0,-0.0,0.0
231,9.625,7.35889,-6.92579,4.95831,0.0,-0.0,0.0
232,9.6667,7.35889,-6.92579,4.95831,0.0,-0.0,0.0
233,9.7083,7.35889,-6.92579,4.95831,0.0,-0.0,0.0
234,9.75,7.35889,-6.92579,4.95831,0.0,-0.0,0.0
235,9.7917,7.35889,-6.92579,4.95831,0.0,-0.0,0.0
236,9.8333,7.35889,-6.92579,4.95831,0.0,-0.0,0.0
237,9.875,7.35889,-6.92579,4.95831,0.0,-0.0,0.0
238,9.9167,7.35889,-6.92579,4.95831,0.0,-0.0,0.0
239,9.9583,7.35889,-6.92579,4.95831,0.0,-0.0,0.0
240,10.0,7.35889,-6.92579,4.95831,0.0,-0.0,0.0
